moosh,out,n
according_to_a,report,95
anything_to_do,with,95
at_the_time,the,95
but_if_you,are,95
end_of_the,season,95
i_have_come,to,95
is_a_good,thing,95
it_was_such,a,95
little_more_than,a,95
of_the_most,important,95
that_there_was,a,95
the_cause_of,the,95
the_next_couple,of,95
the_next_few,weeks,95
the_two_of,them,95
to_focus_on,the,95
to_the_bottom,of,95
what_do_you,do,95
for_one_of,the,94
have_to_go,to,94
he_was_one,of,94
in_a_letter,to,94
not_going_to,get,94
not_the_only,one,94
of_millions_of,dollars,94
of_the_people,who,94
that_i_can,not,94
the_sides_of,the,94
to_talk_about,the,94
we_did_not,have,94
year_and_a,half,94
a_good_time,to,93
and_at_the,same,93
as_long_as,it,93
at_the_hands,of,93
by_the_time,we,93
have_to_say,that,93
more_than_half,of,93
of_the_university,of,93
one_of_the,main,93
the_nature_of,the,93
the_part_of,the,93
the_past_few,months,93
to_make_it,a,93
we_just_have,to,93
am_not_sure,if,92
and_i_had,a,92
for_the_past,years,92
i_hope_you,will,92
i_really_want,to,92
i_want_you,to,92
not_get_me,wrong,92
of_the_year,and,92
quite_a_bit,of,92
said_he_was,not,92
that_i_will,be,92
that_this_is,the,92
the_los_angeles,times,92
the_only_one,who,92
those_who_do,not,92
to_be_the,best,92
to_work_with,the,92
what_it_means,to,92
has_been_in,the,91
i_had_to,do,91
in_a_statement,that,91
it_seems_to,me,91
it_turns_out,that,91
over_the_last,few,91
percent_of_the,vote,91
that_i_wanted,to,91
that_needs_to,be,91
the_fact_that,we,91
there_was_no,way,91
we_have_a,lot,91
we_have_got,a,91
with_a_couple,of,91
with_one_of,the,91
you_need_to,do,91
you_will_not,be,91
are_supposed_to,be,90
but_he_did,not,90
but_i_have,to,90
i_am_sure,that,90
i_think_it,will,90
i_was_not,sure,90
i_will_be,able,90
in_the_last,year,90
in_the_regular,season,90
is_likely_to,be,90
it_was_not,until,90
more_than_a,few,90
on_condition_of,anonymity,90
or_cents_per,share,90
people_who_do,not,90
so_i_thought,i,90
the_hands_of,the,90
the_st_louis,area,90
the_world_trade,center,90
this_was_the,first,90
we_are_talking,about,90
with_the_fact,that,90
you_will_be,able,90
and_this_is,the,89
as_a_result,the,89
be_able_to,see,89
but_i_have,been,89
by_the_time,the,89
do_you_have,a,89
going_to_be,able,89
have_to_be,a,89
i_want_to,see,89
i_was_in,a,89
leading_up_to,the,89
